0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-154.76348876953125,-194.3707733154297,-160.9325714111328,-203.0432586669922,-213.41445922851562,-207.0665740966797,-224.05389404296875,-189.72161865234375,-0.100341796875,0.44580078125,-0.839111328125,-0.6408690810203552,-1.8920897245407104,0.7934569716453552,73.33333587646484,26.0,1.0,1665552912.4371808
-152.52830505371094,-190.43687438964844,-157.9821319580078,-198.84112548828125,-209.0335235595703,-202.23858642578125,-218.06362915039062,-185.5194854736328,-0.1015625,0.4462890625,-0.841552734375,-0.6103515028953552,-1.8310545682907104,0.8239745497703552,73.33333587646484,27.0,1.0,1665552912.4619417
-150.38253784179688,-187.03941345214844,-155.2999267578125,-195.44366455078125,-204.92080688476562,-197.94705200195312,-212.87802124023438,-181.8538055419922,-0.101318359375,0.444580078125,-0.842041015625,-0.6408690810203552,-1.8615721464157104,0.8239745497703552,73.33333587646484,28.0,1.0,1665552912.4895885
-148.32618713378906,-183.73135375976562,-152.975341796875,-192.04620361328125,-200.89749145507812,-194.01315307617188,-208.1394500732422,-177.74107360839844,-0.10009765625,0.44384765625,-0.84375,-0.5493163466453552,-1.8005369901657104,0.7934569716453552,73.33333587646484,29.0,1.0,1665552912.514892
-146.2698211669922,-180.69151306152344,-150.74017333984375,-188.73814392089844,-197.05299377441406,-190.3474578857422,-203.3114776611328,-174.4330291748047,-0.1025390625,0.4462890625,-0.84326171875,-0.5798339247703552,-1.8615721464157104,0.7934569716453552,73.33333587646484,30.0,1.0,1665552912.541947
-144.30287170410156,-177.74107360839844,-148.2367706298828,-185.8771209716797,-193.74493408203125,-186.77117919921875,-199.55638122558594,-171.3931884765625,-0.10107421875,0.445556640625,-0.841552734375,-0.6103515028953552,-1.9226073026657104,0.8239745497703552,73.33333587646484,31.0,1.0,1665552912.5670407
-142.5147247314453,-175.23768615722656,-145.82278442382812,-183.1949005126953,-190.70509338378906,-183.37371826171875,-195.6224822998047,-168.4427490234375,-0.100830078125,0.44482421875,-0.840576171875,-0.5798339247703552,-1.8310545682907104,0.8239745497703552,73.33333587646484,32.0,1.0,1665552912.594453
-140.8159942626953,-172.64488220214844,-144.03465270996094,-180.4232940673828,-187.66525268554688,-180.24447631835938,-191.77796936035156,-166.0287628173828,-0.1025390625,0.446533203125,-0.844482421875,-0.6103515028953552,-1.7089842557907104,0.8544921278953552,73.33333587646484,33.0,1.0,1665552912.6194415
-139.38548278808594,-170.49911499023438,-142.33592224121094,-177.91989135742188,-184.89364624023438,-177.02581787109375,-188.20169067382812,-163.52537536621094,-0.101806640625,0.4462890625,-0.839111328125,-0.6408690810203552,-1.6784666776657104,0.7934569716453552,73.33333587646484,34.0,1.0,1665552912.6469991
-137.95497131347656,-168.4427490234375,-140.4583740234375,-175.32708740234375,-182.30084228515625,-174.25421142578125,-184.80422973632812,-161.02197265625,-0.101806640625,0.44580078125,-0.84228515625,-0.6103515028953552,-1.8615721464157104,0.7629393935203552,73.33333587646484,35.0,1.0,1665552912.6719444
-136.5244598388672,-166.0287628173828,-138.8490447998047,-173.36013793945312,-179.5292205810547,-171.84022521972656,-181.76438903808594,-158.78680419921875,-0.101318359375,0.4453125,-0.843017578125,-0.7019042372703552,-1.9531248807907104,0.7324218153953552,73.33333587646484,36.0,1.0,1665552912.6996274
-135.36216735839844,-163.88299560546875,-137.23971557617188,-171.7508087158203,-177.115234375,-169.068603515625,-178.63514709472656,-156.73043823242188,-0.101806640625,0.445556640625,-0.84423828125,-0.5493163466453552,-1.9531248807907104,0.7629393935203552,73.33333587646484,37.0,1.0,1665552912.7244165
-134.1104736328125,-162.3630828857422,-135.98802185058594,-169.7838592529297,-174.8800506591797,-166.7440185546875,-175.7741241455078,-154.674072265625,-0.10205078125,0.4462890625,-0.84375,-0.5493163466453552,-1.8615721464157104,0.7934569716453552,73.33333587646484,38.0,1.0,1665552912.7520084
-133.21640014648438,-160.84315490722656,-134.55751037597656,-167.90631103515625,-172.3766632080078,-164.9558868408203,-173.1813201904297,-152.8859405517578,-0.103271484375,0.445068359375,-0.843505859375,-0.4577636420726776,-1.8615721464157104,0.7324218153953552,73.33333587646484,39.0,1.0,1665552912.7769291
-131.87530517578125,-159.05502319335938,-133.57403564453125,-165.93936157226562,-170.4097137451172,-163.16773986816406,-170.8567352294922,-151.00839233398438,-0.101806640625,0.444580078125,-0.84375,-0.4272460639476776,-1.8005369901657104,0.7629393935203552,73.33333587646484,40.0,1.0,1665552912.804438
-130.7130126953125,-157.17747497558594,-132.05410766601562,-164.24063110351562,-168.88978576660156,-161.02197265625,-168.62156677246094,-149.2202606201172,-0.10302734375,0.4462890625,-0.843017578125,-0.4882812201976776,-1.8920897245407104,0.8239745497703552,73.33333587646484,41.0,1.0,1665552912.829508
-129.64012145996094,-155.74696350097656,-130.62359619140625,-162.6313018798828,-167.369873046875,-159.05502319335938,-166.6546173095703,-147.43211364746094,-0.1015625,0.447509765625,-0.8427734375,-0.6103515028953552,-1.8310545682907104,0.7934569716453552,73.33333587646484,42.0,1.0,1665552912.8569577
-128.92486572265625,-154.76348876953125,-129.55072021484375,-161.55841064453125,-165.49232482910156,-157.08807373046875,-164.50885009765625,-146.09100341796875,-0.1015625,0.445556640625,-0.840087890625,-0.5493163466453552,-1.8920897245407104,0.7324218153953552,73.33333587646484,43.0,1.0,1665552912.971393
-127.5837631225586,-153.33297729492188,-128.65664672851562,-160.12789916992188,-163.972412109375,-155.65756225585938,-162.81011962890625,-144.9287109375,-0.100830078125,0.444580078125,-0.839111328125,-0.5493163466453552,-1.8005369901657104,0.7629393935203552,73.33333587646484,44.0,1.0,1665552912.9715056
-126.689697265625,-151.81304931640625,-127.85198211669922,-158.78680419921875,-162.3630828857422,-154.3164520263672,-160.9325714111328,-143.58761596679688,-0.1005859375,0.445556640625,-0.839111328125,-0.6713866591453552,-1.8310545682907104,0.7019042372703552,73.33333587646484,45.0,1.0,1665552912.9715629
-126.15325164794922,-150.65077209472656,-126.689697265625,-157.53509521484375,-160.6643524169922,-152.975341796875,-159.3232421875,-142.33592224121094,-0.101806640625,0.4462890625,-0.842041015625,-0.6713866591453552,-1.7700194120407104,0.8544921278953552,73.33333587646484,46.0,1.0,1665552912.9716165
-125.34858703613281,-149.39906311035156,-125.79562377929688,-156.19400024414062,-158.87620544433594,-151.63424682617188,-157.53509521484375,-141.1736297607422,-0.101806640625,0.446044921875,-0.8427734375,-0.6408690810203552,-1.7395018339157104,0.8239745497703552,73.33333587646484,47.0,1.0,1665552912.9716587
-124.72274017333984,-148.50498962402344,-124.81214904785156,-155.03170776367188,-157.62451171875,-149.93551635742188,-155.74696350097656,-140.10073852539062,-0.10205078125,0.446044921875,-0.84326171875,-0.5493163466453552,-1.7089842557907104,0.8544921278953552,73.33333587646484,48.0,1.0,1665552912.9717138
-124.00748443603516,-147.43211364746094,-124.09689331054688,-153.78001403808594,-156.55162048339844,-148.8626251220703,-154.40585327148438,-139.1172637939453,-0.10205078125,0.447509765625,-0.8427734375,-0.5798339247703552,-1.8310545682907104,0.8850097060203552,73.33333587646484,49.0,1.0,1665552912.9717512
-123.47103881835938,-146.44863891601562,-123.11341094970703,-152.79653930664062,-155.2999267578125,-147.78973388671875,-153.15415954589844,-137.86557006835938,-0.10205078125,0.446533203125,-0.842529296875,-0.6103515028953552,-1.7395018339157104,0.8850097060203552,73.33333587646484,50.0,1.0,1665552912.971779
-122.6663818359375,-145.5545654296875,-122.48756408691406,-151.9024658203125,-154.04823303222656,-146.71685791015625,-151.9918670654297,-137.1503143310547,-0.1025390625,0.44482421875,-0.840087890625,-0.6103515028953552,-1.7700194120407104,0.7324218153953552,73.33333587646484,51.0,1.0,1665552912.971798
-121.8617172241211,-144.66049194335938,-121.8617172241211,-151.09779357910156,-153.06475830078125,-145.5545654296875,-150.47195434570312,-136.25624084472656,-0.102294921875,0.446044921875,-0.83740234375,-0.4882812201976776,-1.7700194120407104,0.7934569716453552,73.33333587646484,52.0,1.0,1665552912.971822
-121.50408935546875,-143.8558349609375,-121.23587036132812,-150.38253784179688,-151.9918670654297,-144.30287170410156,-149.30966186523438,-135.183349609375,-0.10302734375,0.445556640625,-0.84130859375,-0.6408690810203552,-1.7700194120407104,0.7629393935203552,73.33333587646484,53.0,1.0,1665552912.9718611
-121.23587036132812,-143.22998046875,-120.43120574951172,-149.30966186523438,-151.00839233398438,-143.40879821777344,-148.32618713378906,-134.1104736328125,-0.103271484375,0.446044921875,-0.8447265625,-0.6103515028953552,-1.7700194120407104,0.8239745497703552,73.33333587646484,54.0,1.0,1665552912.9718876
-120.43120574951172,-142.5147247314453,-120.1629867553711,-148.77322387695312,-150.11431884765625,-142.69354248046875,-147.2532958984375,-133.3952178955078,-0.101806640625,0.4453125,-0.844970703125,-0.5493163466453552,-1.8005369901657104,0.8239745497703552,73.33333587646484,55.0,1.0,1665552912.971966
-119.98416900634766,-141.71006774902344,-119.26891326904297,-147.879150390625,-149.2202606201172,-141.79946899414062,-146.180419921875,-132.94818115234375,-0.100830078125,0.4462890625,-0.8447265625,-0.4272460639476776,-1.8005369901657104,0.7934569716453552,73.33333587646484,56.0,1.0,1665552912.972005
-119.5371322631836,-140.99481201171875,-118.8218765258789,-147.07447814941406,-148.41558837890625,-140.90541076660156,-145.1969451904297,-132.23292541503906,-0.1015625,0.44677734375,-0.844970703125,-0.5798339247703552,-1.8310545682907104,0.8544921278953552,73.33333587646484,57.0,1.0,1665552912.972038
-118.91128540039062,-140.36895751953125,-118.28543853759766,-146.44863891601562,-147.52151489257812,-140.27955627441406,-144.30287170410156,-131.4282684326172,-0.101318359375,0.445556640625,-0.845703125,-0.5798339247703552,-1.9836424589157104,0.7629393935203552,73.33333587646484,58.0,1.0,1665552912.9720724
-118.8218765258789,-139.56430053710938,-117.74899291992188,-145.82278442382812,-146.80625915527344,-139.56430053710938,-143.58761596679688,-130.89181518554688,-0.100830078125,0.44580078125,-0.842041015625,-0.4882812201976776,-1.9226073026657104,0.7934569716453552,73.33333587646484,59.0,1.0,1665552912.9721043
-118.73247528076172,-138.93844604492188,-117.30196380615234,-145.28634643554688,-146.180419921875,-138.7596435546875,-142.78294372558594,-130.35537719726562,-0.1005859375,0.446533203125,-0.8427734375,-0.5798339247703552,-1.8310545682907104,0.7629393935203552,73.33333587646484,60.0,1.0,1665552912.9721458
-118.19602966308594,-138.58082580566406,-116.85492706298828,-144.5710906982422,-145.6439666748047,-138.31260681152344,-141.79946899414062,-129.7295379638672,-0.1015625,0.445556640625,-0.842529296875,-0.5798339247703552,-1.8920897245407104,0.7934569716453552,73.33333587646484,61.0,1.0,1665552912.972184
-117.65959167480469,-138.0443878173828,-116.40789031982422,-144.12405395507812,-144.9287109375,-137.59735107421875,-141.1736297607422,-129.28250122070312,-0.10302734375,0.444580078125,-0.84375,-0.4577636420726776,-1.8310545682907104,0.7934569716453552,73.33333587646484,62.0,1.0,1665552912.9946103
-117.48077392578125,-137.77615356445312,-116.05026245117188,-143.67701721191406,-144.03465270996094,-137.06089782714844,-140.36895751953125,-128.92486572265625,-0.1025390625,0.444580078125,-0.842529296875,-0.4882812201976776,-1.7395018339157104,0.7934569716453552,73.33333587646484,63.0,1.0,1665552913.0222564
-117.03373718261719,-137.32913208007812,-116.05026245117188,-143.22998046875,-143.31939697265625,-136.43505859375,-139.83251953125,-128.4778289794922,-0.103515625,0.444091796875,-0.839111328125,-0.6408690810203552,-1.7700194120407104,0.7019042372703552,73.33333587646484,64.0,1.0,1665552913.0472226
-116.85492706298828,-136.70327758789062,-115.4244155883789,-142.60414123535156,-142.69354248046875,-135.7198028564453,-138.93844604492188,-127.85198211669922,-0.10205078125,0.4453125,-0.843017578125,-0.5493163466453552,-1.8310545682907104,0.7324218153953552,73.33333587646484,65.0,1.0,1665552913.1056232
-116.58670806884766,-136.16683959960938,-115.06678771972656,-142.2465057373047,-142.42532348632812,-135.0939483642578,-138.31260681152344,-127.22613525390625,-0.102783203125,0.44677734375,-0.841064453125,-0.4882812201976776,-1.9226073026657104,0.6713866591453552,73.33333587646484,66.0,1.0,1665552913.1056623
-116.22908020019531,-135.7198028564453,-115.06678771972656,-141.88888549804688,-142.06768798828125,-134.64691162109375,-137.68675231933594,-126.8685073852539,-0.102294921875,0.44580078125,-0.84521484375,-0.5493163466453552,-1.9226073026657104,0.7019042372703552,73.33333587646484,67.0,1.0,1665552913.105683
-115.87145233154297,-135.27276611328125,-114.6197509765625,-141.1736297607422,-141.4418487548828,-134.1998748779297,-137.59735107421875,-126.60028839111328,-0.10205078125,0.4462890625,-0.844970703125,-0.5798339247703552,-1.8920897245407104,0.7019042372703552,73.33333587646484,68.0,1.0,1665552913.1056988
-115.51382446289062,-135.00454711914062,-114.08330535888672,-140.8159942626953,-140.90541076660156,-133.75283813476562,-136.97149658203125,-126.33206939697266,-0.102294921875,0.449462890625,-0.845458984375,-0.5187987685203552,-1.8005369901657104,0.7629393935203552,73.33333587646484,69.0,1.0,1665552913.105715
-115.4244155883789,-134.736328125,-113.8150863647461,-140.4583740234375,-140.27955627441406,-133.57403564453125,-136.43505859375,-126.15325164794922,-0.102783203125,0.447021484375,-0.84326171875,-0.5798339247703552,-1.8920897245407104,0.7324218153953552,73.33333587646484,70.0,1.0,1665552913.1057303
-115.06678771972656,-134.28929138183594,-113.36804962158203,-140.19015502929688,-139.7431182861328,-133.1269989013672,-135.8986053466797,-125.79562377929688,-0.1025390625,0.448486328125,-0.84326171875,-0.6408690810203552,-1.8920897245407104,0.7629393935203552,73.33333587646484,71.0,1.0,1665552913.1057465
-114.70915985107422,-133.93165588378906,-113.18923950195312,-140.01133728027344,-139.2066650390625,-132.85877990722656,-135.27276611328125,-125.2591781616211,-0.103515625,0.446044921875,-0.842041015625,-0.5493163466453552,-1.8005369901657104,0.8544921278953552,73.33333587646484,72.0,1.0,1665552913.1057615
-114.6197509765625,-133.66343688964844,-113.01042175292969,-139.56430053710938,-138.93844604492188,-132.4117431640625,-135.0939483642578,-124.72274017333984,-0.102783203125,0.447021484375,-0.840576171875,-0.5187987685203552,-1.7395018339157104,0.8239745497703552,73.33333587646484,73.0,1.0,1665552913.1081755
-114.53034210205078,-133.30581665039062,-112.74220275878906,-139.29608154296875,-138.7596435546875,-131.87530517578125,-134.64691162109375,-124.3651123046875,-0.10107421875,0.447021484375,-0.840576171875,-0.6103515028953552,-1.7700194120407104,0.7934569716453552,73.33333587646484,74.0,1.0,1665552913.114528
-114.17271423339844,-133.03758239746094,-112.47398376464844,-138.93844604492188,-138.67022705078125,-131.60707092285156,-134.37869262695312,-124.3651123046875,-0.103271484375,0.446533203125,-0.84130859375,-0.5798339247703552,-1.8005369901657104,0.8239745497703552,73.33333587646484,75.0,1.0,1665552913.1419764
-113.99390411376953,-132.94818115234375,-112.295166015625,-138.67022705078125,-138.2231903076172,-131.51766967773438,-134.0210723876953,-124.18629455566406,-0.103759765625,0.447021484375,-0.841796875,-0.6408690810203552,-1.8310545682907104,0.7629393935203552,73.33333587646484,76.0,1.0,1665552913.1672823
-113.90449523925781,-132.67996215820312,-111.93753814697266,-138.31260681152344,-137.59735107421875,-131.16004943847656,-133.3952178955078,-123.82866668701172,-0.10205078125,0.4462890625,-0.843017578125,-0.6713866591453552,-1.7700194120407104,0.7934569716453552,73.33333587646484,77.0,1.0,1665552913.1944487
-113.45745849609375,-132.14352416992188,-111.84813690185547,-138.1337890625,-137.32913208007812,-130.8024139404297,-133.1269989013672,-123.47103881835938,-0.102783203125,0.446044921875,-0.841552734375,-0.5798339247703552,-1.8615721464157104,0.7324218153953552,73.33333587646484,78.0,1.0,1665552913.1982033
-113.45745849609375,-132.05410766601562,-111.84813690185547,-137.77615356445312,-137.1503143310547,-130.26597595214844,-132.7693634033203,-123.20281982421875,-0.10205078125,0.445068359375,-0.841796875,-0.5493163466453552,-1.8920897245407104,0.7019042372703552,73.33333587646484,79.0,1.0,1665552913.2270477
-113.45745849609375,-131.785888671875,-111.57991027832031,-137.59735107421875,-136.97149658203125,-129.9977569580078,-132.5011444091797,-123.29222869873047,-0.101318359375,0.4453125,-0.84130859375,-0.5798339247703552,-1.9226073026657104,0.7324218153953552,73.33333587646484,80.0,1.0,1665552913.2795467
-113.18923950195312,-131.60707092285156,-111.31169128417969,-137.5079345703125,-136.70327758789062,-129.81893920898438,-132.05410766601562,-122.8451919555664,-0.101806640625,0.44482421875,-0.839599609375,-0.5493163466453552,-1.9226073026657104,0.7934569716453552,73.33333587646484,81.0,1.0,1665552913.307103
-113.0998306274414,-131.33885192871094,-111.13288116455078,-137.1503143310547,-136.25624084472656,-129.81893920898438,-131.785888671875,-122.57697296142578,-0.103271484375,0.44482421875,-0.840576171875,-0.6103515028953552,-1.8005369901657104,0.7934569716453552,73.33333587646484,82.0,1.0,1665552913.332032
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,-0.101318359375,0.4453125,-0.84130859375,-0.6408690810203552,-1.8005369901657104,0.8239745497703552,73.33333587646484,83.0,1.0,1665552913.3597577
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,-0.101318359375,0.4453125,-0.84130859375,-0.6408690810203552,-1.8005369901657104,0.8239745497703552,73.33333587646484,84.0,0.0,1665552913.38451
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,-0.101318359375,0.4453125,-0.84130859375,-0.6408690810203552,-1.8005369901657104,0.8239745497703552,73.33333587646484,85.0,0.0,1665552913.3845391
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,-0.101318359375,0.4453125,-0.84130859375,-0.6408690810203552,-1.8005369901657104,0.8239745497703552,73.33333587646484,86.0,0.0,1665552913.3845556
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,-0.101318359375,0.4453125,-0.84130859375,-0.6408690810203552,-1.8005369901657104,0.8239745497703552,73.33333587646484,87.0,0.0,1665552913.3845668
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,-0.101318359375,0.4453125,-0.84130859375,-0.6408690810203552,-1.8005369901657104,0.8239745497703552,73.33333587646484,88.0,0.0,1665552913.3845773
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,-0.101318359375,0.4453125,-0.84130859375,-0.6408690810203552,-1.8005369901657104,0.8239745497703552,73.33333587646484,89.0,0.0,1665552913.3845873
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,-0.101318359375,0.4453125,-0.84130859375,-0.6408690810203552,-1.8005369901657104,0.8239745497703552,73.33333587646484,90.0,0.0,1665552913.3845975
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,-0.101318359375,0.4453125,-0.84130859375,-0.6408690810203552,-1.8005369901657104,0.8239745497703552,73.33333587646484,91.0,0.0,1665552913.3846087
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,-0.101318359375,0.4453125,-0.84130859375,-0.6408690810203552,-1.8005369901657104,0.8239745497703552,73.33333587646484,92.0,0.0,1665552913.3846211
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,-0.101318359375,0.4453125,-0.84130859375,-0.6408690810203552,-1.8005369901657104,0.8239745497703552,73.33333587646484,93.0,0.0,1665552913.384632
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,-0.101318359375,0.4453125,-0.84130859375,-0.6408690810203552,-1.8005369901657104,0.8239745497703552,73.33333587646484,94.0,0.0,1665552913.384642
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,-0.101318359375,0.4453125,-0.84130859375,-0.6408690810203552,-1.8005369901657104,0.8239745497703552,73.33333587646484,95.0,0.0,1665552913.384652
